peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1	1	2	0	0	2	1
peak.10	1	0	1	0	1	3
peak.100	3	1	3	0	1	1
peak.1000	3	0	2	0	1	1
peak.1001	2	0	2	0	1	2
peak.1002	2	0	3	0	1	1
peak.1003	3	0	3	1	0	1
peak.1004	3	1	3	0	0	3
peak.1005	0	0	0	0	0	0
peak.1006	1	0	2	0	0	0
peak.1007	1	0	0	0	2	1
peak.1008	2	0	3	0	1	0
peak.1009	4	0	1	0	1	0
peak.101	0	0	1	0	2	1
peak.1010	3	0	2	0	1	2
peak.1011	1	0	1	0	0	1
peak.1012	1	3	1	1	2	0
peak.1013	0	0	0	0	0	0
peak.1014	2	0	1	1	4	1
peak.1015	3	1	5	0	2	1
peak.1016	5	1	3	0	2	1
peak.1017	1	1	1	0	1	0
peak.1018	2	2	2	1	1	1
peak.1019	3	0	2	0	1	1
peak.102	1	5	1	0	1	1
peak.1020	3	0	1	1	0	0
peak.1021	2	1	0	0	0	1
peak.1022	3	0	2	0	1	0
peak.1023	2	0	2	0	0	0
peak.1024	0	0	1	0	0	0
peak.1025	2	0	2	0	1	0
peak.1026	3	0	3	0	0	0
peak.1027	3	0	1	0	0	2
peak.1028	2	0	2	0	0	1
peak.1029	1	0	1	0	0	0
peak.103	2	0	2	0	0	1
peak.1030	1	0	1	0	2	2
peak.1031	2	1	2	0	4	1
peak.1032	1	0	1	0	0	1
peak.1033	1	0	1	0	0	1
peak.1034	2	2	0	1	0	0
peak.1035	1	0	1	0	1	0
peak.1036	0	1	0	0	0	0
peak.1037	1	1	1	0	0	1
peak.1038	1	1	1	0	0	2
peak.1039	0	1	0	1	1	0
peak.104	1	1	0	0	3	0
peak.1040	1	1	1	0	1	1
peak.1041	2	0	1	0	1	0
peak.1042	3	0	2	0	0	1
peak.1043	1	0	0	0	0	0
peak.1044	0	1	0	1	2	1
peak.1045	1	1	1	0	4	1
peak.1046	1	0	1	0	1	0
peak.1047	1	0	1	0	0	0
peak.1048	3	0	3	0	0	0
peak.1049	4	0	3	0	0	1
peak.105	0	0	0	0	0	1
peak.1050	0	0	0	0	0	0
peak.1051	1	0	1	0	2	0
peak.1052	3	2	1	0	4	2
peak.1053	2	2	2	1	2	0
peak.1054	0	1	0	1	0	2
peak.1055	2	0	1	0	0	0
peak.1056	1	0	0	0	0	1
peak.1057	2	0	3	0	0	0
peak.1058	1	1	1	0	2	0
peak.1059	1	0	1	0	0	1
peak.106	4	1	3	0	0	1
peak.1060	3	1	2	0	1	1
peak.1061	2	0	2	0	0	1
peak.1062	3	0	3	0	0	0
peak.1063	0	1	0	0	0	2
peak.1064	4	1	2	0	1	1
peak.1065	3	1	3	0	0	3
peak.1066	3	4	3	1	5	1
peak.1067	2	0	2	1	1	1
peak.1068	3	0	3	0	0	0
peak.1069	0	0	0	1	0	1
peak.107	1	0	2	0	0	1
peak.1070	1	0	1	0	0	2
peak.1071	1	0	1	0	0	0
peak.1072	1	0	1	0	0	0
peak.1073	0	0	0	0	0	0
peak.1074	2	0	2	0	1	0
peak.1075	0	0	0	0	0	0
peak.1076	1	0	1	0	0	0
