label	CRX_Corbo	VSX2.MA0726.1	RAX2.MA0717.1	VSX2_e14.5.MEME-1	E80A_atacLost.MEME-19	K88N_atacGain.STREME-1	K88N_chipGain.MEME.1	RORB_HUMAN.MA1150.1	NRL_HUMAN.MA0842.1	Nr2e3_MOUSE.MA0164.1	GFI1_MOUSE.H11MO.0.C	PRDM1.MA0508.2	PRDM1.MA0508.3	NEUROD1_HUMAN.MA1109.1	ASCL1_HUMAN.MA1100.1	ATOH7_HUMAN.MA1468.1	Bhlhe40_MOUSE.MA0464.1
peak.1	0.0018738608304993101	2.502109257774112e-05	0.0006802359725756771	5.546187114620303e-10	2.3702232947147017e-10	7.771231637605685e-07	1.1995829756188832e-11	6.625864714025636e-07	0.09049394224750304	1.461552280128397e-10	3.303788289380309e-05	1.6489624283629728e-15	6.363724181329462e-10	7.293977754255083e-10	1.1493066828057107e-06	1.2900015290478221e-13	1.7260974172846068e-14
peak.2	0.011454995538462364	1.592618017910567e-08	1.1364635672336944e-06	1.1395540671612235e-15	5.918615145378529e-19	1.5922908250407669e-15	4.1008908630459155e-19	9.904564889144648e-10	2.287405731265479e-07	4.6158079621331317e-10	8.874888041551206e-12	1.1109660624151901e-10	2.6297787823972875e-11	7.773804273785139e-07	6.857285796877708e-12	0.0030996073094776756	3.8897454099494785e-12
peak.3	0.46828210255949676	0.0213602267843722	0.532989159333145	0.0005384363020863153	1.9289147088493038e-08	7.46875118802387e-08	1.2726772551635548e-13	5.3596880698771995e-06	8.983766717225171e-07	7.062410558789168e-14	4.983219564533127e-07	5.059678516771796e-16	3.3145565566810947e-09	9.630022859727835e-09	2.2272601797996676e-09	8.633276037970084e-05	0.0002972432009923617
peak.4	0.04919439355235331	2.9496852513837295e-06	0.0009219261606425014	3.3980962222545087e-09	3.1545379871759846e-16	8.692953311991356e-14	5.785397656837885e-19	8.958554758976255e-09	0.00018124793993161772	5.461350142714853e-20	3.495751777548681e-06	8.143274290848943e-16	1.9098490204674508e-10	0.41293520801118294	2.700076480546314e-08	0.001910405893639296	6.895373059062762e-13
peak.5	0.02433957203100991	3.0440134053043325e-09	3.944986749685846e-06	4.520522366778961e-11	0.0037934742033383403	3.700612817272414e-07	4.2050392712468835e-08	1.289288518869273e-05	2.7937593025644706e-06	1.2153303501805367e-14	1.3792729042795734e-08	8.048930419109081e-12	9.539865271165998e-06	1.7280270384971237e-08	2.711354164712112e-13	1.848500879341546e-14	2.8768270274974794e-25
peak.6	0.041755833785399786	1.2889483084786456e-07	3.820567243345935e-05	1.0214549950545891e-15	2.3431739469254137e-16	3.729138554687484e-14	4.766797551125212e-22	2.070905514503319e-09	1.5578209162123718e-07	3.6105021684070796e-20	6.807106703513121e-08	5.7674439952636336e-06	6.705666218089914e-10	1.672120441814326e-09	2.633459606795445e-10	1.4772526830390908e-08	1.4961206583161906e-12
peak.7	0.5313175151786635	0.001422443614060262	0.13020012111862672	9.896013182840561e-11	4.15368540117097e-19	1.8948523768666538e-13	1.7604398512931463e-19	1.2288984177118184e-09	0.011842122888956079	4.1650927646004225e-15	6.977954750785753e-08	1.1099414490108697e-09	0.005115881521708227	1.2193055143816003e-07	2.3557853071946297e-06	1.9438643732513733e-07	6.766298734707766e-11
peak.8	0.008098928527506278	1.9365415667636552e-10	1.3636481239499483e-07	6.652779799080611e-22	1.533363476847673e-15	3.3203046916061935e-18	1.8923398619659045e-20	1.7235726900605618e-10	0.02863348842348049	1.67061635246427e-10	5.1511455520489186e-08	9.510193949059943e-14	2.7582530857741054e-06	8.146258784128582e-11	1.251872890971217e-12	2.9203950356195306e-13	8.1938648688693e-15
peak.9	0.01113942817565487	0.6545589439667474	0.7550655713820197	0.0540631045938223	4.561288246081118e-09	3.5677519184676753e-10	5.814171716271299e-15	5.083954220801106e-05	1.7929245107489501e-06	3.165950684524473e-12	9.454448593217016e-05	1.788070211228502e-09	5.328465492319529e-05	5.702703993321183e-09	6.838062515578667e-07	2.1957636169800988e-07	1.636698612712446e-05
peak.10	0.008457269549806318	4.649221675063943e-09	1.6935801868821767e-06	1.6901295439130937e-17	0.00017165673372601052	9.634808533236652e-13	4.455835439829811e-17	8.816811480761777e-09	0.003410009713386503	7.137231713691323e-14	1.848064998981516e-12	1.3503802077414826e-12	3.3862676059536825e-10	1.4102847536301567e-06	7.255847193034644e-12	1.726427769454043e-11	3.5243455699126025e-19
