label	wt_olap.DREME.1	e80a_olap.DREME.1	k88n_olap.MEME.2	k88n_olap.DREME.1	k88n_gain.MEME.1	e80a_loss.MEME.3	CRX_Corbo	Crx.MA0467.1	NRL.MA0842.2	FOS::JUN.MA0099.2	Lee_2010_CRX
peak.1	7.333080352772423e-10	6.340306757746855e-10	6.265533734974683e-14	6.634930689659342e-10	1.6554457224654321e-12	8.027062337699817e-14	0.0018738608304993101	5.057819674583694e-12	0.0001395380344115776	0.0011661359117408057	0.020344874426652473
peak.2	2.084989663197717e-10	1.5889988706277242e-10	9.131028864453402e-20	1.9681800668632503e-11	6.067040278198516e-20	3.4477592670970915e-18	0.011454995538462364	8.442080308359463e-10	3.2243302817755525e-17	5.157796792022207e-05	0.05889357879724912
peak.3	0.43841693461111175	0.3192070425724763	1.963670417391933e-14	1.2375462528819413e-09	2.2571017188180388e-14	1.993183217754722e-08	0.46828210255949676	9.912963536995714e-07	8.798620028059196e-16	0.0027716991610610207	0.8627065039707855
peak.4	0.36221901786849825	0.2874249019907443	1.199065768270749e-21	2.514617387685854e-10	5.63744582786111e-20	2.1789440028189478e-16	0.04919439355235331	1.3833178760017056e-11	4.2150258062993944e-12	4.342675906007078e-05	0.18265909483138648
peak.5	0.36221901719957406	0.2874249013952181	5.737603967152835e-08	4.255035096839573e-11	5.672325272887784e-09	0.01922557708908454	0.02433957203100991	1.6285674585887046e-05	6.987470151135047e-18	0.00018286667270638136	0.11396927934058927
peak.6	7.856713496206458e-10	5.231150578152325e-10	2.047680604274123e-22	1.0266149437125698e-19	4.655399450701213e-23	9.613980575266455e-16	0.041755833785399786	9.205423678342745e-08	2.181371291290954e-19	2.951197620624488e-06	0.1446037665653426
peak.7	0.5058819677475518	0.5249791875953522	1.0162320038161006e-12	2.3266101682628862e-10	2.434131523926442e-20	5.134290570155042e-13	0.5313175151786635	0.0026780473020413934	1.2739880803228883e-06	0.11212456715230196	0.56116030488674
peak.8	4.12327660619126e-10	3.532198400394942e-10	1.0645801239571056e-17	2.765209759614779e-20	9.734494852784665e-21	5.055327921280392e-13	0.008098928527506278	6.311157344960367e-05	1.4444707450203131e-05	2.518587231064237e-06	0.05749087404899286
peak.9	4.024547217131243e-10	3.7091389244294505e-10	9.778154378173833e-12	1.0244270066216683	4.83973925270388e-16	8.10525937223089e-07	0.01113942817565487	2.4169762646600116e-10	9.354959820163363e-17	0.11207325672862298	0.0570257339726527
peak.10	1.242333346803636e-10	1.3410627356186944e-10	1.413502827614783e-20	4.2550351143350407e-11	1.3060341189287064e-19	0.0003221629742879135	0.008457269549806318	5.861489898352203e-08	1.1702500776652575e-07	0.020487448454581253	0.064010251732479
peak.11	7.439269323899339e-11	4.248766631678272e-11	1.2736258349178808e-06	0.8152345797607798	1.0489466202049009e-13	9.161375326939781e-09	0.0008223782979654649	1.3515140984292608e-11	5.763802688279248e-22	5.384819225396232e-05	0.011852275892314558
peak.12	1.242333343338694e-10	1.3410627326652088e-10	1.1083201973859378e-19	1.9681800590201822e-11	1.873931981819073e-19	4.976676205233911e-09	0.010797219410005708	3.0392435698094207e-05	3.171357104341589e-14	3.2457479652579473e-07	0.052277929539618954
peak.13	9.854823270313526e-20	8.734319242787807e-20	4.872504768201205e-22	3.9669878348232353e-20	1.46396173152773e-20	1.2307058238040517e-10	5.120636299323837e-05	3.873899635037378e-18	1.4554762304878537e-22	0.0007319288203350768	0.001203344551518829
peak.14	1.2423333429544673e-10	1.3410627323435007e-10	5.3977079623331687e-20	1.7708104583545063e-10	1.4123822842822015e-19	1.7545553396800433e-13	0.0036704646982082803	2.5337947684445835e-13	8.15611976898986e-22	6.232069620454398e-09	0.021836743091340642
peak.15	0.4562623268799886	0.2911188736318523	3.352412829636513e-13	1.9681801020967933e-11	1.21888657278863e-10	0.0017958199446780365	0.03616089418637187	6.611327456548825e-09	1.7749078896676872e-14	0.020064262589116196	0.1878815292966448
peak.16	0.07619791621917615	0.0317821401114106	3.689869223330019e-21	9.892463326262316e-20	2.5600195097792478e-24	2.190163401468703e-15	0.10136638170492054	9.57800277573974e-06	1.687091147571382e-20	5.464309001405502e-06	0.2317253505338004
peak.17	0.07619791644951955	0.031782140274455195	0.001843217529052172	1.0763424383361057e-09	5.083656484536568e-06	0.12745555528489422	0.10559206052350595	2.0305219058868287e-06	7.848689709088573e-17	0.002440967082486205	0.25539199982173666
peak.18	1.2423333420086232e-10	1.3410627314032057e-10	5.641345401315e-23	1.7878012883844903e-20	2.9682330206387826e-25	6.504469651754778e-18	1.4448650127415785e-06	1.847833951972437e-18	1.1859514150230755e-19	2.8446502813632344e-06	9.281488391535828e-05
peak.19	3.4287704422995247e-10	3.186665682383548e-10	3.3629724970801296e-07	0.49944782093009116	7.675431871404963e-15	0.02797151208806681	0.00767189429882195	3.480750749593825e-08	1.5695571288851958e-12	2.138314034344864e-05	0.06542553829438247
peak.20	2.7835729009634915e-10	2.5848484965329843e-10	2.2266030460979448e-17	1.0603134571241864e-19	1.6793982724749667e-19	1.2473139205909012e-15	0.0008292143207142718	1.0696291606467123e-11	4.010206007610663e-15	5.4427337054999565e-05	0.014851895920659657
peak.21	0.8681009849099871	0.8124040889380004	3.1324135594365483e-22	1.306679891471091e-19	1.8224760141670437e-23	2.408169811681223e-14	0.6792426350081232	1.580147946356244e-05	4.4794133182279085e-15	5.402490046514742e-05	0.8151291202413385
peak.22	1.2844744219326042e-09	1.070624414455207e-09	4.242128750370825e-10	1.4075845479214767e-10	1.6791897117404088e-12	2.632890848762843e-09	0.0027503543930727714	1.6439428327032646e-10	2.9267961482875784e-09	0.5275046436516745	0.06913901575707171
peak.23	1.0008841447405918e-11	3.98317795193201e-12	5.840241438851132e-28	2.876014505753502e-20	3.2539203379286624e-27	3.6264373858686596e-16	0.0007676762392809951	2.2879696942959837e-11	2.630362628302308e-18	0.02018934336991994	0.011271213274097167
peak.24	0.43841693427811834	0.319207042270944	3.7725739449606604e-12	7.951002722114519e-10	2.0364072788818702e-16	7.839609999479433e-06	0.09306179479449939	9.7347207265073e-08	1.4298572611421716e-11	5.401113362168762e-05	0.3003073314870046
peak.25	1.0008841541447564e-11	3.9831780328961365e-12	5.83155350463136e-13	1.9011066559739304e-10	1.5910810036674923e-16	1.2476347035041888e-10	0.0001192690131261646	5.46018211545395e-15	1.5172817268022315e-20	5.336377662483818e-10	0.0024259548065808283
peak.26	0.07619791650659984	0.03178214032323924	6.694989513915375e-11	4.255035108181943e-11	2.091649807605798e-09	2.629611708697915e-07	0.10299404121950041	1.5958623720248627e-07	7.512879400935871e-16	0.0001429413972849457	0.24989620847937055
peak.27	8.173125277251999e-10	4.978134595257632e-10	3.3822060563504917e-18	4.712939145668974e-11	4.0742333807753585e-18	6.991621928897734e-14	0.018058354112390356	4.5041882851308044e-11	7.941207471879011e-16	4.342444043889084e-05	0.13429145154904867
peak.28	0.07619791664618292	0.03178214043319355	1.3366294624916231e-09	0.2596200154063803	1.0414209419982772e-12	2.631231595881064e-06	0.10421722000833275	6.386814613919292e-08	2.3851469884841736e-17	4.962575538619839e-05	0.26919045305831124
peak.29	2.6821254632742017e-10	2.328244415684021e-10	0.35804029734889714	6.223215160351469e-11	0.018557850715718846	0.009042413652834421	0.00017066894131690787	8.75778784870227e-15	4.0749172053462287e-10	4.8566947968356606e-05	0.004370530960663189
peak.30	1.2423333418818917e-10	1.34106273123482e-10	7.409533901102635e-25	4.2550350961589384e-11	1.1092020618018758e-17	3.619777353501605e-08	0.0060299312855564636	2.539631888580816e-09	2.248149101581066e-13	6.647524880461128e-06	0.034246648612030535
peak.31	1.1923615558781188e-09	1.0658475895274371e-09	1.3693179127056997e-14	1.968180106359077e-11	1.1106139116216502e-19	1.6794698446725838e-14	0.10852846800859024	1.399193541047777e-07	4.8930066698656787e-20	0.00038208682433083456	0.2523431693666893
