wt1	wt2	wt3	wt4	ehet1	ehet2	ehet3	ehom1	ehom2	ehom3	ehom4	khet1	khet2	khet3	khet4	khom1	khom2	khom3	khom4	rhom1	rhom2	rhom3
basal	112.175077980712	106.753624318244	96.814218819294	98.8881020944839	82.4972648902624	94.609502662955	90.6983354541107	71.7190178453102	91.0224539615674	91.7308172790125	91.2682894214557	103.787095816724	174.381273218228	120.415721820822	93.1098247084607	103.500555078999	88.8486705330667	105.408192710918	121.611001032445	82.0030371982184	72.008639933919	69.8739156670694
chr1-105679469-105679602_peak.288_NotDB_WT	44.7289304652651	44.0290963241487	41.0541307651437	29.5271516113107	57.9479057879698	44.94239468764	98.2803729605269	68.9803441328401	43.9558655832235	38.0879146229814	70.0281374404399	27.7293767449264	23.9757873771117	11.2715365189092	49.1043480307716	33.5493925256072	9.3305030183628	47.9931156756415	13.8948868722612	90.6746227410185	81.433083606252	50.3742182716082
chr1-105679469-105679602_peak.288_NotDB_mutM	124.733042685471	119.759142001684	74.2957217205025	164.070682066623	124.316812663354	152.573668119065	153.929667111393	162.608751677911	138.494788791449	147.408952014134	153.70146342626	128.083311631327	116.472540864767	130.236466510565	92.3339095025569	69.2720250528732	62.8068188250989	41.8099535333809	140.670359131565	102.36241195088	176.266548059102	155.111229282078
chr1-106663511-106663644_peak.290_EGain_WT	28.079044676933	35.4942253443906	42.432814260988	27.4379663557934	0.85637299194044	14.5198505913914	38.1963021549646	14.3780369904679	8.92642193382385	14.2466245536343	17.3783061662856	57.1753339550148	58.1707628165989	61.156455567943	68.1696930901231	74.9767800572274	60.8571614779783	47.8458975293972	45.619495837247	36.1944440047309	51.3926694006907	67.8057659433083
chr1-106663511-106663644_peak.290_EGain_mutM	142.935036471021	132.900133827661	113.664794879614	105.573494912139	124.031354999374	98.5275575844416	133.18635695233	108.519945856627	110.904030086902	88.3872217205065	82.6435004352251	133.101008375647	131.80132295833	135.25843822691	151.081775092419	108.933655083146	132.99448332144	126.165951331364	117.061347808785	144.023725102158	91.4465550081058	99.2711867405298
chr1-120961980-120962113_peak.305_EGain_WT	218.847227607653	303.32660513775	262.868986540995	259.616087752279	156.57352869311	201.895065366014	217.590170703001	37.6567635464636	74.6573470828904	121.823177305567	84.8318797302388	253.261640936994	367.49772455081	258.129346220168	175.135146475438	330.332480252132	525.711177527158	539.996160424089	253.550944518607	514.828263421458	442.212567937748	451.004364760175
chr1-120961980-120962113_peak.305_EGain_mutM	131.22367612838	115.830391868145	123.468766405619	124.654720245864	145.297950965895	142.893767724804	107.292983581361	103.556099752775	130.109362126342	154.823011730821	160.395329505125	125.970597212665	178.704775860002	172.086230813445	154.407125974864	154.979177618291	123.663980303077	89.5086329165338	96.5264265019916	128.942706766854	120.456170687006	76.3738147988898
chr1-125337502-125337635_peak.307.shuff_NotDB_scrambled	137.29100739023	149.292505074498	122.549644075056	165.742030271036	150.721646581517	146.811822646291	124.173746331495	106.808274786333	131.732347932491	145.809841094849	131.688942282298	146.305473492278	182.242187112363	175.880609443573	158.286702004383	149.138595113833	227.552864656788	174.747939591983	131.816979885522	91.8056991161663	113.093324067996	157.622553946645
chr1-126431154-126431287_peak.309_NotDB_WT	0	1.35474142535842	0	1.39279017034484	0.713644159950367	2.07426437019877	0	0	0	0	5.02039955914919	0.792267906997896	0	12.499129605127	0	7.47051250570201	0	0	0	0	3.09239557998425	0
chr1-126431154-126431287_peak.309_NotDB_mutM	1.26990654317787	6.36728469918458	0	6.54611380062077	11.9892218871662	4.03329183094205	1.71668773730178	0	13.5248817179149	6.97793855688209	0	12.2801525584674	6.55076157844582	2.23198742948697	3.10366082361536	5.0256175038359	0	0	9.83708805115838	10.9337382930958	5.8902772952081	17.4315476717002
