annots	expression	expression_std	expression_cov	expression_reps	expression_pvalue	expression_qvalue
basal	1.2413277318767353	0.3270457917481034	0.2634645012350206	4.0	0.29879818805619024	0.37165761526540153
chr1-105679469-105679602_peak.288_NotDB_WT	0.13272052883598667	0.07682023245683965	0.5788119828227367	4.0	0.003653285986987065	0.01253048822191866
chr1-105679469-105679602_peak.288_NotDB_mutM	0.6786209224694618	0.09926703286300974	0.14627758970616883	4.0	0.01120462226232488	0.028039672650196957
chr1-106663511-106663644_peak.290_EGain_WT	0.34304563714746067	0.03419242071122466	0.09967309596340033	4.0	3.1897917513236844e-05	0.0005705865155170483
chr1-106663511-106663644_peak.290_EGain_mutM	1.102720563387074	0.0941131135132073	0.0853462941002325	4.0	0.05456365936202672	0.09377614700350047
chr1-120961980-120962113_peak.305_EGain_WT	1.7976172556847991	0.49031946148787037	0.27276076703051233	4.0	0.03278956001818301	0.06279287321773021
chr1-120961980-120962113_peak.305_EGain_mutM	1.2102279028184955	0.1630102933016238	0.1346938811458484	4.0	0.09020594169830293	0.1406690779650236
chr1-126431154-126431287_peak.309_NotDB_WT	1.349250876489949	2.487209322707164	1.8434001904653885	4.0	0.5172971422130717	0.5860546152479248
chr1-126431154-126431287_peak.309_NotDB_mutM	1.7149297738923495	1.3061153463976871	0.7616144790775994	4.0	0.4169800372139205	0.4906588107511295
chr1-127015348-127015481_peak.313_KGain_WT	1.7434303186581457	0.07952153943455162	0.0456121122728647	4.0	1.7263848601564148e-05	0.00038907057667592873
chr1-127015348-127015481_peak.313_KGain_mutD	1.334452018844409	0.1320256852198525	0.09893625499864908	4.0	0.011697583160325133	0.028892668251725668
chr1-127015348-127015481_peak.313_KGain_mutDM	1.2504243879651196	0.07109528600913678	0.056856925291447515	4.0	0.0002724982542263397	0.0022693017455299985
chr1-127015348-127015481_peak.313_KGain_mutM	1.7960095732712893	0.12202742395402105	0.06794363781244092	4.0	0.00043528151175286674	0.003089569306729867
chr1-127854346-127854479_peak.314_EGain_WT	3.0097911946261755	0.09742113343918911	0.0323680704539004	4.0	2.6698416816203058e-08	5.916665815546333e-06
chr1-127854346-127854479_peak.314_EGain_mutM	1.9627498926580702	0.3721996749227434	0.18963173877375122	4.0	0.0039144350200480404	0.013110563639774671
chr1-128244073-128244206_peak.317_NotDB_WT	0.4821095218867607	0.06666772260783416	0.13828335592071808	4.0	0.001501052684387291	0.0066308960775425295
chr1-129538625-129538758_peak.321_KGain_WT				0.0		
chr1-129538625-129538758_peak.321_KGain_mutM				0.0		
chr1-132820242-132820375_peak.343_KGain_WT	2.154589886297274	0.2310703013659275	0.107245607544844	4.0	0.00048437788721526076	0.0032748871052570763
chr1-132820242-132820375_peak.343_KGain_mutD	1.2205217985998056	0.2802143252439436	0.2295856784904687	4.0	0.18777343998968096	0.25339250748269193
