chip.peak.id	seqnames	cre.start	cre.end	summit	width	start	end	peak.id
peak.1	chr1	4357711	4357844	4357778	134	4357578	4357978	peak.1
peak.2	chr1	4358542	4358675	4358609	134	4358409	4358809	peak.2
peak.3	chr1	4360266	4360399	4360333	134	4360133	4360533	peak.3
peak.4	chr1	4383772	4383905	4383839	134	4383639	4384039	peak.4
peak.5	chr1	4802559	4802692	4802626	134	4802426	4802826	peak.5
peak.6	chr1	4857617	4857750	4857684	134	4857484	4857884	peak.6
peak.7	chr1	4904752	4904885	4904819	134	4904619	4905019	peak.7
peak.8	chr1	4908344	4908477	4908411	134	4908211	4908611	peak.8
peak.9	chr1	4970713	4970846	4970780	134	4970580	4970980	peak.9
peak.10	chr1	5070285	5070418	5070352	134	5070152	5070552	peak.10
peak.11	chr1	7397548	7397681	7397615	134	7397415	7397815	peak.11
peak.12	chr1	9545254	9545387	9545321	134	9545121	9545521	peak.12
peak.13	chr1	9748483	9748616	9748550	134	9748350	9748750	peak.13
peak.14	chr1	9944159	9944292	9944226	134	9944026	9944426	peak.14
peak.15	chr1	9982212	9982345	9982279	134	9982079	9982479	peak.15
peak.16	chr1	10009114	10009247	10009181	134	10008981	10009381	peak.16
peak.17	chr1	10024896	10025029	10024963	134	10024763	10025163	peak.17
peak.18	chr1	10038131	10038264	10038198	134	10037998	10038398	peak.18
peak.19	chr1	10156016	10156149	10156083	134	10155883	10156283	peak.19
peak.20	chr1	10229061	10229194	10229128	134	10228928	10229328	peak.20
peak.21	chr1	13200373	13200506	13200440	134	13200240	13200640	peak.21
peak.22	chr1	13203886	13204019	13203953	134	13203753	13204153	peak.22
peak.23	chr1	13372495	13372628	13372562	134	13372362	13372762	peak.23
peak.24	chr1	13495128	13495261	13495195	134	13494995	13495395	peak.24
peak.25	chr1	15805412	15805545	15805479	134	15805279	15805679	peak.25
peak.26	chr1	16053685	16053818	16053752	134	16053552	16053952	peak.26
peak.27	chr1	16104430	16104563	16104497	134	16104297	16104697	peak.27
peak.28	chr1	16109001	16109134	16109068	134	16108868	16109268	peak.28
peak.29	chr1	16229659	16229792	16229726	134	16229526	16229926	peak.29
peak.30	chr1	16657053	16657186	16657120	134	16656920	16657320	peak.30
peak.31	chr1	17100455	17100588	17100522	134	17100322	17100722	peak.31
peak.32	chr1	19615962	19616095	19616029	134	19615829	19616229	peak.32
peak.33	chr1	19900204	19900337	19900271	134	19900071	19900471	peak.33
peak.34	chr1	23825582	23825715	23825649	134	23825449	23825849	peak.34
peak.35	chr1	24005683	24005816	24005750	134	24005550	24005950	peak.35
peak.36	chr1	24280110	24280243	24280177	134	24279977	24280377	peak.36
peak.37	chr1	24492183	24492316	24492250	134	24492050	24492450	peak.37
peak.38	chr1	24759156	24759289	24759223	134	24759023	24759423	peak.38
peak.39	chr1	30833766	30833899	30833833	134	30833633	30834033	peak.39
peak.40	chr1	33527632	33527765	33527699	134	33527499	33527899	peak.40
peak.41	chr1	33890124	33890257	33890191	134	33889991	33890391	peak.41
peak.42	chr1	34001276	34001409	34001343	134	34001143	34001543	peak.42
peak.43	chr1	34120861	34120994	34120928	134	34120728	34121128	peak.43
peak.44	chr1	34124543	34124676	34124610	134	34124410	34124810	peak.44
peak.45	chr1	34211875	34212008	34211942	134	34211742	34212142	peak.45
peak.46	chr1	34439648	34439781	34439715	134	34439515	34439915	peak.46
peak.47	chr1	34706539	34706672	34706606	134	34706406	34706806	peak.47
peak.48	chr1	34740055	34740188	34740122	134	34739922	34740322	peak.48
peak.49	chr1	34849468	34849601	34849535	134	34849335	34849735	peak.49
peak.50	chr1	34851381	34851514	34851448	134	34851248	34851648	peak.50
peak.51	chr1	34866950	34867083	34867017	134	34866817	34867217	peak.51
peak.52	chr1	36065064	36065197	36065131	134	36064931	36065331	peak.52
peak.53	chr1	36244331	36244464	36244398	134	36244198	36244598	peak.53
peak.54	chr1	36476324	36476457	36476391	134	36476191	36476591	peak.54
peak.55	chr1	36492592	36492725	36492659	134	36492459	36492859	peak.55
peak.56	chr1	36523710	36523843	36523777	134	36523577	36523977	peak.56
peak.57	chr1	36547267	36547400	36547334	134	36547134	36547534	peak.57
peak.58	chr1	36674934	36675067	36675001	134	36674801	36675201	peak.58
peak.59	chr1	36681015	36681148	36681082	134	36680882	36681282	peak.59
peak.60	chr1	36710074	36710207	36710141	134	36709941	36710341	peak.60
peak.61	chr1	37214337	37214470	37214404	134	37214204	37214604	peak.61
peak.62	chr1	37219051	37219184	37219118	134	37218918	37219318	peak.62
peak.63	chr1	37541762	37541895	37541829	134	37541629	37542029	peak.63
peak.64	chr1	37997246	37997379	37997313	134	37997113	37997513	peak.64
peak.65	chr1	38562322	38562455	38562389	134	38562189	38562589	peak.65
peak.66	chr1	38584439	38584572	38584506	134	38584306	38584706	peak.66
peak.67	chr1	38596247	38596380	38596314	134	38596114	38596514	peak.67
peak.68	chr1	39431899	39432032	39431966	134	39431766	39432166	peak.68
peak.69	chr1	39434028	39434161	39434095	134	39433895	39434295	peak.69
peak.70	chr1	39445128	39445261	39445195	134	39444995	39445395	peak.70
peak.71	chr1	39446319	39446452	39446386	134	39446186	39446586	peak.71
peak.72	chr1	39449985	39450118	39450052	134	39449852	39450252	peak.72
peak.73	chr1	39452131	39452264	39452198	134	39451998	39452398	peak.73
peak.74	chr1	39474221	39474354	39474288	134	39474088	39474488	peak.74
peak.75	chr1	39477037	39477170	39477104	134	39476904	39477304	peak.75
peak.76	chr1	39932122	39932255	39932189	134	39931989	39932389	peak.76
peak.77	chr1	39963970	39964103	39964037	134	39963837	39964237	peak.77
peak.78	chr1	40154921	40155054	40154988	134	40154788	40155188	peak.78
peak.79	chr1	43095238	43095371	43095305	134	43095105	43095505	peak.79
peak.80	chr1	43098210	43098343	43098277	134	43098077	43098477	peak.80
peak.81	chr1	44594133	44594266	44594200	134	44594000	44594400	peak.81
peak.82	chr1	44733654	44733787	44733721	134	44733521	44733921	peak.82
peak.83	chr1	45795344	45795477	45795411	134	45795211	45795611	peak.83
peak.84	chr1	45822158	45822291	45822225	134	45822025	45822425	peak.84
peak.85	chr1	46153164	46153297	46153231	134	46153031	46153431	peak.85
peak.86	chr1	46166793	46166926	46166860	134	46166660	46167060	peak.86
peak.87	chr1	51478410	51478543	51478477	134	51478277	51478677	peak.87
peak.88	chr1	51628239	51628372	51628306	134	51628106	51628506	peak.88
peak.89	chr1	52150153	52150286	52150220	134	52150020	52150420	peak.89
peak.90	chr1	52231995	52232128	52232062	134	52231862	52232262	peak.90
peak.91	chr1	52330678	52330811	52330745	134	52330545	52330945	peak.91
peak.92	chr1	52435868	52436001	52435935	134	52435735	52436135	peak.92
peak.93	chr1	52634374	52634507	52634441	134	52634241	52634641	peak.93
peak.94	chr1	52726292	52726425	52726359	134	52726159	52726559	peak.94
peak.95	chr1	53225764	53225897	53225831	134	53225631	53226031	peak.95
peak.96	chr1	53778616	53778749	53778683	134	53778483	53778883	peak.96
peak.97	chr1	54286562	54286695	54286629	134	54286429	54286829	peak.97
