annots	expression	expression_std	expression_cov	expression_reps	expression_pvalue	expression_qvalue
basal	1.2140691544600741	0.12953445437675923	0.10669446126762551	4.0	0.053051292186499587	0.09134447112543731
chr1-105679469-105679602_peak.288_NotDB_WT	0.1434323743411355	0.10355903565152927	0.7220060054589028	4.0	0.005948302441407785	0.017156247128401907
chr1-105679469-105679602_peak.288_NotDB_mutM	0.51304659879524	0.2546852950182666	0.496417470881457	4.0	0.05470523209041762	0.09342547348432075
chr1-106663511-106663644_peak.290_EGain_WT	0.36703905153944194	0.0864346221819127	0.23549162362802273	4.0	0.0023325056358318597	0.008746347567663022
chr1-106663511-106663644_peak.290_EGain_mutM	1.1103484792643588	0.1333721529093017	0.1201173824254391	4.0	0.1071417423999909	0.160370629067354
chr1-120961980-120962113_peak.305_EGain_WT	3.272215483828824	1.2587469162901854	0.38467726911961303	4.0	0.0062893011704816685	0.017880994625920067
chr1-120961980-120962113_peak.305_EGain_mutM	1.0184779848158347	0.25490870871727755	0.2502839654048793	4.0	0.9297334525413237	0.9432215682946593
chr1-126431154-126431287_peak.309_NotDB_WT	0.8525642494072351	1.7051284988144702	2.0	4.0	0.2303949777147848	0.2967219325270217
chr1-126431154-126431287_peak.309_NotDB_mutM	1.1555050571122394	1.4512082072831833	1.2559081402118182	4.0	0.5928541752893947	0.6490295915142892
chr1-127015348-127015481_peak.313_KGain_WT	2.0897847556205464	0.3705836416365614	0.17733101011473273	4.0	0.0037172171854770904	0.012255440613161028
chr1-127015348-127015481_peak.313_KGain_mutD	2.086743432496885	0.5564679106475747	0.2666681020683674	4.0	0.006308040458977724	0.01790872455091539
chr1-127015348-127015481_peak.313_KGain_mutDM	1.5778282620306563	0.2164040287623829	0.13715309452238617	4.0	0.0028520952628885497	0.010241848394480864
chr1-127015348-127015481_peak.313_KGain_mutM	2.4866391956831606	0.45032477462356646	0.18109775451353632	4.0	0.0007756831325605603	0.004172568105784606
chr1-127854346-127854479_peak.314_EGain_WT	7.8834014421992835	2.265519227010059	0.28737839162710865	4.0	0.00032898517454296657	0.0024329033501452038
chr1-127854346-127854479_peak.314_EGain_mutM	2.384412378943872	0.25574472774812584	0.1072569199885646	4.0	0.0002469238070660047	0.002016881751977653
chr1-128244073-128244206_peak.317_NotDB_WT	0.4290053330832004	0.1625054899653067	0.3787959669344967	4.0	0.013854947007021041	0.03225807171144034
chr1-129538625-129538758_peak.321_KGain_WT				0.0		
chr1-129538625-129538758_peak.321_KGain_mutM				0.0		
chr1-132820242-132820375_peak.343_KGain_WT	3.4696857969727297	0.5886947517773963	0.16966802939073827	4.0	0.0008556109302335805	0.004511197312051656
chr1-132820242-132820375_peak.343_KGain_mutD	1.0126732386800479	0.21031402731054172	0.2076820234577069	4.0	0.935260876380233	0.9478641884697709
chr1-134067022-134067155_peak.355_EGain_WT	1.3490228079800328	0.23773521680865292	0.1762277223204455	4.0	0.02129026602079619	0.04461777095630579
chr1-134067022-134067155_peak.355_EGain_mutM	0.8492200137565175	0.16557563571368034	0.19497377950533445	4.0	0.19826474152583723	0.26211716740364416
chr1-134179208-134179341_peak.358_KGain_WT				0.0		
chr1-134179208-134179341_peak.358_KGain_mutD	3.632207128709573	3.651020662408897	1.0051796423036061	4.0	0.1094789507069744	0.16289029395968643
chr1-134179208-134179341_peak.358_KGain_mutDM				0.0		
chr1-134179208-134179341_peak.358_KGain_mutM				0.0		
chr1-134439696-134439829_peak.362_ELost_WT				0.0		
chr1-134439696-134439829_peak.362_ELost_mutD	1.3612799978440118	0.4866880882982111	0.35752239735324487	4.0	0.24192565532970317	0.30917462717030997
chr1-134439696-134439829_peak.362_ELost_mutDM	2.430795635390505	0.9399060626151494	0.38666601541110407	4.0	0.022804205142103087	0.04683027392912051
chr1-134439696-134439829_peak.362_ELost_mutM	1.4400284553074523	1.9514914626180655	1.3551756254715215	4.0	0.8218400946832971	0.8541993787242822
chr1-134799958-134800091_peak.368_NotDB_WT	1.3047504476036034	0.30049667024061116	0.2303096893298826	4.0	0.1596743325306244	0.22122415344701735
chr1-134799958-134800091_peak.368_NotDB_mutM	0.8035814525026316	0.23333637172817837	0.29037052933649465	4.0	0.1754856253288122	0.23800125980287357
chr1-135595360-135595493_peak.378_ELost_WT	1.1784689898223535	0.33656991793316543	0.2855992994638757	4.0	0.4399098193568976	0.5057630631544834
chr1-135595360-135595493_peak.378_ELost_mutM	0.7307921769380042	0.25378178827194947	0.347269437578392	4.0	0.11142971208994501	0.1652991560813252
chr1-136017794-136017927_peak.382_KLost_WT	1.7465568334584023	0.12331937265865289	0.07060713416033822	4.0	0.0002122265045100156	0.0018632926144866125
chr1-136237971-136238104_peak.388_ELost_WT	1.2142766507962126	0.5575771120271085	0.45918457845788263	4.0	0.6458893610027534	0.6967564256987754
chr1-136237971-136238104_peak.388_ELost_mutD	0.9566733729153676	0.41335834923786985	0.4320788692782377	4.0	0.5595505164111712	0.6169760327565499
chr1-136237971-136238104_peak.388_ELost_mutDM	0.37514212573864403	0.224121061003821	0.5974297356302843	4.0	0.026090200534864202	0.05207588349122119
chr1-136237971-136238104_peak.388_ELost_mutM	0.4840246388877495	0.08630406842091125	0.17830511401078922	4.0	0.0035168445951039686	0.011789859172484794
chr1-136279433-136279566_peak.389_KLost_WT	0.8400113722354334	0.0812464778465315	0.09672068799535277	4.0	0.045250245695175904	0.08009213114607956
chr1-136279433-136279566_peak.389_KLost_mutM	1.1213195135859695	0.15500484660744263	0.13823432547939754	4.0	0.250985670160365	0.3184051181601575
chr1-136563268-136563401_peak.394_KLost_WT	1.579596852816267	0.4077695612666503	0.25814786889429225	4.0	0.022867830081125105	0.046912594288916455
chr1-136563268-136563401_peak.394_KLost_mutM	0.5853575653718952	0.13175159543097015	0.22507882912090563	4.0	0.014306180654222244	0.03315374191147085
chr1-136643638-136643771_peak.395_KGain_WT	7.682315241458403	1.9210421109929698	0.25006030742215174	4.0	0.0001788652068843685	0.0016736073113640675
chr1-136643638-136643771_peak.395_KGain_mutD	2.789529902365154	0.4835812763302392	0.17335583171925345	4.0	0.0006613019899065552	0.00376027065872686
chr1-136643638-136643771_peak.395_KGain_mutDM	1.5735811470007792	0.399522559162797	0.25389383949107464	4.0	0.06111126148688925	0.10204838218966927
chr1-136643638-136643771_peak.395_KGain_mutM	1.9077646881957313	0.10072566865841705	0.052797742447826916	4.0	0.0001453470946196098	0.0015246145240888544
chr1-138662551-138662684_peak.402_KGain_WT				0.0		
chr1-138662551-138662684_peak.402_KGain_mutD	1.804507947968209	1.470841407571384	0.8150927842836505	4.0	0.405603508620023	0.4736992632169386
chr1-138662551-138662684_peak.402_KGain_mutDM	0.8860123379267132	0.6315157132227515	0.7127617598424318	4.0	0.4038732840013255	0.47223200646209545
