peak.id	seqnames	start	end	width	strand	WT	E80A	K88N	R90W	chip.e80a.lfc	chip.e80a.p.value	chip.e80a.fdr	chip.k88n.lfc	chip.k88n.p.value	chip.k88n.fdr	chip.r90w.lfc	chip.r90w.p.value	chip.r90w.fdr
peak.1	chr1	4357578	4357978	401	*	475.6448674	447.842962	67.26154634	66.17533705	-0.008022132	0.960463848	0.998232617	-2.51427322	4.31E-05	0.000161886	-2.880987382	2.31E-06	2.36E-05
peak.2	chr1	4358409	4358809	401	*	51.59855564	65.33015725	8.407693293	20.83297648	0.114338388	0.557500499	0.886260693	-2.264349449	0.004169273	0.006851461	-1.407819611	0.042449516	0.0519109
peak.3	chr1	4360133	4360533	401	*	323.6636672	231.0225851	60.05495209	49.01876818	-0.129380627	0.475561569	0.835158472	-2.157089049	0.000382905	0.000928414	-2.791931331	4.67E-06	3.76E-05
peak.4	chr1	4383639	4384039	401	*	322.7255116	284.044162	80.4736358	52.6951758	-0.030601913	0.859059187	0.984074704	-1.726933636	0.006630498	0.010179741	-2.672173187	3.07E-05	0.000136601
peak.5	chr1	4802426	4802826	401	*	99.44448905	17.04264972	15.61428754	29.41126091	-1.9091887	0.000260575	0.006305179	-2.373179948	0.000437229	0.001036364	-1.833859201	0.003239525	0.005216346
peak.6	chr1	4857484	4857884	401	*	93.8155557	96.57501506	7.206594251	19.60750727	0.020022979	0.898674844	0.993884003	-3.28744621	1.89E-05	8.61E-05	-2.290508147	0.00037323	0.000888092
peak.7	chr1	4904619	4905019	401	*	44.09331118	232.9162128	9.608792334	20.83297648	1.986416985	5.71E-05	0.002367199	-1.894438986	0.010073247	0.014700532	-1.185230801	0.069402696	0.081720635
peak.8	chr1	4908211	4908611	401	*	18.76311114	55.86201852	4.804396167	11.02922284	1.020921303	0.0169976	0.104060024	-1.633228255	0.061549143	0.074379446	-0.901583555	0.223272766	0.242968216
peak.9	chr1	4970580	4970980	401	*	215.7757781	203.5649827	30.02747605	31.86219932	-0.008932121	0.952708498	0.997926674	-2.563661422	2.80E-05	0.000116126	-2.808380381	3.46E-06	3.07E-05
peak.10	chr1	5070152	5070552	401	*	255.1783115	252.7993041	7.206594251	23.28391489	0.007051198	0.962866952	0.998372598	-4.635224725	1.45E-09	9.91E-08	-3.447967286	3.99E-08	2.49E-06
peak.11	chr1	7397415	7397815	401	*	82.55768902	71.95785436	21.61978275	19.60750727	-0.033437499	0.85310199	0.983531165	-1.646854236	0.018332708	0.02499961	-2.084845887	0.002806112	0.004614432
peak.12	chr1	9545121	9545521	401	*	140.7233336	112.6708509	8.407693293	24.50938409	-0.071894837	0.681454107	0.943801515	-3.603197028	2.80E-06	1.98E-05	-2.504786626	0.000140179	0.000414508
peak.13	chr1	9748350	9748750	401	*	45.03146674	47.34069366	13.21208946	9.803753636	0.028157553	0.856653066	0.983531165	-1.532560981	0.02186241	0.029225182	-2.227644675	0.00150042	0.002722297
peak.14	chr1	9944026	9944426	401	*	67.54720011	99.41545668	18.01648563	18.38203807	0.198301177	0.329548479	0.694010526	-1.657049278	0.0129292	0.018324909	-1.914940338	0.003630632	0.005743585
peak.15	chr1	9982079	9982479	401	*	89.12477792	10.41495261	10.80989138	12.25469205	-2.276817341	3.72E-05	0.001758511	-2.703736124	0.000168459	0.000483028	-2.747450409	6.99E-05	0.00024593
peak.16	chr1	10008981	10009381	401	*	112.5786668	91.8409457	16.81538659	23.28391489	-0.068201108	0.677724023	0.943530807	-2.438054664	0.000228132	0.00061435	-2.323474738	0.00023597	0.000621165
peak.17	chr1	10024763	10025163	401	*	182.9403336	100.3622706	20.41868371	34.31313773	-0.329530741	0.174793599	0.480135932	-2.864357433	1.05E-05	5.41E-05	-2.491301965	4.87E-05	0.000189416
peak.18	chr1	10037998	10038398	401	*	50.66040008	54.91520464	6.005495209	14.70563045	0.044195515	0.786971228	0.971025509	-2.695777385	0.000782365	0.001666424	-1.839385167	0.006032508	0.008904312
peak.19	chr1	10155883	10156283	401	*	145.4141113	62.48971563	26.42417892	23.28391489	-0.595887166	0.065805794	0.259008235	-2.175413603	0.000687009	0.001501373	-2.608792237	4.80E-05	0.000187946
peak.20	chr1	10228928	10229328	401	*	85.37215569	118.3517341	21.61978275	24.50938409	0.163754371	0.39978896	0.766873468	-1.724952283	0.008999464	0.013311679	-1.799735174	0.005154442	0.00776893
peak.21	chr1	13200240	13200640	401	*	28.14466671	48.28750753	4.804396167	15.93109966	0.322345947	0.188466605	0.50271396	-2.17505082	0.010372081	0.015096714	-0.920745171	0.167136978	0.185055267
