peak.id	seqnames	start	end	strand	annot
peak.1	chr1	4357578	4357978	*	intron
peak.2	chr1	4358409	4358809	*	intron
peak.3	chr1	4360133	4360533	*	promoter-tss
peak.4	chr1	4383639	4384039	*	intron
peak.5	chr1	4802426	4802826	*	intergenic
peak.6	chr1	4857484	4857884	*	promoter-tss
peak.7	chr1	4904619	4905019	*	intergenic
peak.8	chr1	4908211	4908611	*	intergenic
peak.9	chr1	4970580	4970980	*	intron
peak.10	chr1	5070152	5070552	*	promoter-tss
peak.11	chr1	7397415	7397815	*	intergenic
peak.12	chr1	9545121	9545521	*	promoter-tss
peak.13	chr1	9748350	9748750	*	promoter-tss
peak.14	chr1	9944026	9944426	*	promoter-tss
peak.15	chr1	9982079	9982479	*	intron
peak.16	chr1	10008981	10009381	*	promoter-tss
peak.17	chr1	10024763	10025163	*	non-coding
peak.18	chr1	10037998	10038398	*	promoter-tss
peak.19	chr1	10155883	10156283	*	intron
peak.20	chr1	10228928	10229328	*	intron
peak.21	chr1	13200240	13200640	*	intron
peak.22	chr1	13203753	13204153	*	intron
peak.23	chr1	13372362	13372762	*	promoter-tss
peak.24	chr1	13494995	13495395	*	intergenic
peak.25	chr1	15805279	15805679	*	promoter-tss
peak.26	chr1	16053552	16053952	*	intergenic
peak.27	chr1	16104297	16104697	*	promoter-tss
peak.28	chr1	16108868	16109268	*	intron
peak.29	chr1	16229526	16229926	*	3' utr
peak.30	chr1	16656920	16657320	*	promoter-tss
peak.31	chr1	17100322	17100722	*	intergenic
peak.32	chr1	19615829	19616229	*	intergenic
peak.33	chr1	19900071	19900471	*	intergenic
peak.34	chr1	23825449	23825849	*	intron
peak.35	chr1	24005550	24005950	*	promoter-tss
peak.36	chr1	24279977	24280377	*	intron
peak.37	chr1	24492050	24492450	*	intron
peak.38	chr1	24759023	24759423	*	intron
peak.39	chr1	30833633	30834033	*	intron
peak.40	chr1	33527499	33527899	*	intron
peak.41	chr1	33889991	33890391	*	intron
peak.42	chr1	34001143	34001543	*	intron
peak.43	chr1	34120728	34121128	*	intron
peak.44	chr1	34124410	34124810	*	intron
peak.45	chr1	34211742	34212142	*	intron
peak.46	chr1	34439515	34439915	*	promoter-tss
peak.47	chr1	34706406	34706806	*	intergenic
peak.48	chr1	34739922	34740322	*	intergenic
peak.49	chr1	34849335	34849735	*	promoter-tss
peak.50	chr1	34851248	34851648	*	intron
peak.51	chr1	34866817	34867217	*	intron
peak.52	chr1	36064931	36065331	*	intergenic
peak.53	chr1	36244198	36244598	*	promoter-tss
peak.54	chr1	36476191	36476591	*	intron
peak.55	chr1	36492459	36492859	*	intron
peak.56	chr1	36523577	36523977	*	intron
peak.57	chr1	36547134	36547534	*	promoter-tss
peak.58	chr1	36674801	36675201	*	intron
peak.59	chr1	36680882	36681282	*	intron
peak.60	chr1	36709941	36710341	*	promoter-tss
peak.61	chr1	37214204	37214604	*	intergenic
peak.62	chr1	37218918	37219318	*	promoter-tss
peak.63	chr1	37541629	37542029	*	promoter-tss
peak.64	chr1	37997113	37997513	*	promoter-tss
peak.65	chr1	38562189	38562589	*	intron
peak.66	chr1	38584306	38584706	*	intron
