peak.id	seqnames	start	end	summit	width	strand
peak.1	chr1	4357711.0	4357844.0	4357778.0	134.0	+
peak.2	chr1	4358542.0	4358675.0	4358609.0	134.0	+
peak.3	chr1	4360266.0	4360399.0	4360333.0	134.0	+
peak.4	chr1	4383772.0	4383905.0	4383839.0	134.0	+
peak.5	chr1	4802559.0	4802692.0	4802626.0	134.0	+
peak.6	chr1	4857617.0	4857750.0	4857684.0	134.0	+
peak.7	chr1	4904752.0	4904885.0	4904819.0	134.0	+
peak.8	chr1	4908344.0	4908477.0	4908411.0	134.0	+
peak.9	chr1	4970713.0	4970846.0	4970780.0	134.0	+
peak.10	chr1	5070285.0	5070418.0	5070352.0	134.0	+
peak.11	chr1	7397548.0	7397681.0	7397615.0	134.0	+
peak.12	chr1	9545254.0	9545387.0	9545321.0	134.0	+
peak.13	chr1	9748483.0	9748616.0	9748550.0	134.0	+
peak.14	chr1	9944159.0	9944292.0	9944226.0	134.0	+
peak.15	chr1	9982212.0	9982345.0	9982279.0	134.0	+
peak.16	chr1	10009114.0	10009247.0	10009181.0	134.0	+
peak.17	chr1	10024896.0	10025029.0	10024963.0	134.0	+
peak.18	chr1	10038131.0	10038264.0	10038198.0	134.0	+
peak.19	chr1	10156016.0	10156149.0	10156083.0	134.0	+
peak.20	chr1	10229061.0	10229194.0	10229128.0	134.0	+
peak.21	chr1	13200373.0	13200506.0	13200440.0	134.0	+
peak.22	chr1	13203886.0	13204019.0	13203953.0	134.0	+
peak.23	chr1	13372495.0	13372628.0	13372562.0	134.0	+
peak.24	chr1	13495128.0	13495261.0	13495195.0	134.0	+
peak.25	chr1	15805412.0	15805545.0	15805479.0	134.0	+
peak.26	chr1	16053685.0	16053818.0	16053752.0	134.0	+
peak.27	chr1	16104430.0	16104563.0	16104497.0	134.0	+
peak.28	chr1	16109001.0	16109134.0	16109068.0	134.0	+
peak.29	chr1	16229659.0	16229792.0	16229726.0	134.0	+
peak.30	chr1	16657053.0	16657186.0	16657120.0	134.0	+
peak.31	chr1	17100455.0	17100588.0	17100522.0	134.0	+
peak.32	chr1	19615962.0	19616095.0	19616029.0	134.0	+
peak.33	chr1	19900204.0	19900337.0	19900271.0	134.0	+
peak.34	chr1	23825582.0	23825715.0	23825649.0	134.0	+
peak.35	chr1	24005683.0	24005816.0	24005750.0	134.0	+
peak.36	chr1	24280110.0	24280243.0	24280177.0	134.0	+
peak.37	chr1	24492183.0	24492316.0	24492250.0	134.0	+
peak.38	chr1	24759156.0	24759289.0	24759223.0	134.0	+
peak.39	chr1	30833766.0	30833899.0	30833833.0	134.0	+
peak.40	chr1	33527632.0	33527765.0	33527699.0	134.0	+
peak.41	chr1	33890124.0	33890257.0	33890191.0	134.0	+
peak.42	chr1	34001276.0	34001409.0	34001343.0	134.0	+
peak.43	chr1	34120861.0	34120994.0	34120928.0	134.0	+
peak.44	chr1	34124543.0	34124676.0	34124610.0	134.0	+
peak.45	chr1	34211875.0	34212008.0	34211942.0	134.0	+
peak.46	chr1	34439648.0	34439781.0	34439715.0	134.0	+
peak.47	chr1	34706539.0	34706672.0	34706606.0	134.0	+
peak.48	chr1	34740055.0	34740188.0	34740122.0	134.0	+
peak.49	chr1	34849468.0	34849601.0	34849535.0	134.0	+
peak.50	chr1	34851381.0	34851514.0	34851448.0	134.0	+
peak.51	chr1	34866950.0	34867083.0	34867017.0	134.0	+
peak.52	chr1	36065064.0	36065197.0	36065131.0	134.0	+
peak.53	chr1	36244331.0	36244464.0	36244398.0	134.0	+
peak.54	chr1	36476324.0	36476457.0	36476391.0	134.0	+
peak.55	chr1	36492592.0	36492725.0	36492659.0	134.0	+
peak.56	chr1	36523710.0	36523843.0	36523777.0	134.0	+
peak.57	chr1	36547267.0	36547400.0	36547334.0	134.0	+
peak.58	chr1	36674934.0	36675067.0	36675001.0	134.0	+
peak.59	chr1	36681015.0	36681148.0	36681082.0	134.0	+
peak.60	chr1	36710074.0	36710207.0	36710141.0	134.0	+
peak.61	chr1	37214337.0	37214470.0	37214404.0	134.0	+
peak.62	chr1	37219051.0	37219184.0	37219118.0	134.0	+
peak.63	chr1	37541762.0	37541895.0	37541829.0	134.0	+
peak.64	chr1	37997246.0	37997379.0	37997313.0	134.0	+
peak.65	chr1	38562322.0	38562455.0	38562389.0	134.0	+
peak.66	chr1	38584439.0	38584572.0	38584506.0	134.0	+
peak.67	chr1	38596247.0	38596380.0	38596314.0	134.0	+
peak.68	chr1	39431899.0	39432032.0	39431966.0	134.0	+
peak.69	chr1	39434028.0	39434161.0	39434095.0	134.0	+
peak.70	chr1	39445128.0	39445261.0	39445195.0	134.0	+
peak.71	chr1	39446319.0	39446452.0	39446386.0	134.0	+
peak.72	chr1	39449985.0	39450118.0	39450052.0	134.0	+
peak.73	chr1	39452131.0	39452264.0	39452198.0	134.0	+
peak.74	chr1	39474221.0	39474354.0	39474288.0	134.0	+
peak.75	chr1	39477037.0	39477170.0	39477104.0	134.0	+
peak.76	chr1	39932122.0	39932255.0	39932189.0	134.0	+
peak.77	chr1	39963970.0	39964103.0	39964037.0	134.0	+
peak.78	chr1	40154921.0	40155054.0	40154988.0	134.0	+
peak.79	chr1	43095238.0	43095371.0	43095305.0	134.0	+
peak.80	chr1	43098210.0	43098343.0	43098277.0	134.0	+
peak.81	chr1	44594133.0	44594266.0	44594200.0	134.0	+
peak.82	chr1	44733654.0	44733787.0	44733721.0	134.0	+
peak.83	chr1	45795344.0	45795477.0	45795411.0	134.0	+
peak.84	chr1	45822158.0	45822291.0	45822225.0	134.0	+
peak.85	chr1	46153164.0	46153297.0	46153231.0	134.0	+
peak.86	chr1	46166793.0	46166926.0	46166860.0	134.0	+
peak.87	chr1	51478410.0	51478543.0	51478477.0	134.0	+
peak.88	chr1	51628239.0	51628372.0	51628306.0	134.0	+
peak.89	chr1	52150153.0	52150286.0	52150220.0	134.0	+
peak.90	chr1	52231995.0	52232128.0	52232062.0	134.0	+
peak.91	chr1	52330678.0	52330811.0	52330745.0	134.0	+
peak.92	chr1	52435868.0	52436001.0	52435935.0	134.0	+
peak.93	chr1	52634374.0	52634507.0	52634441.0	134.0	+
peak.94	chr1	52726292.0	52726425.0	52726359.0	134.0	+
peak.95	chr1	53225764.0	53225897.0	53225831.0	134.0	+
peak.96	chr1	53778616.0	53778749.0	53778683.0	134.0	+
peak.97	chr1	54286562.0	54286695.0	54286629.0	134.0	+
peak.98	chr1	54438578.0	54438711.0	54438645.0	134.0	+
peak.99	chr1	54859993.0	54860126.0	54860060.0	134.0	+
peak.100	chr1	55002401.0	55002534.0	55002468.0	134.0	+
peak.101	chr1	55052658.0	55052791.0	55052725.0	134.0	+
peak.102	chr1	55501287.0	55501420.0	55501354.0	134.0	+
peak.103	chr1	55700934.0	55701067.0	55701001.0	134.0	+
peak.104	chr1	55888772.0	55888905.0	55888839.0	134.0	+
peak.105	chr1	56973409.0	56973542.0	56973476.0	134.0	+
peak.106	chr1	58203971.0	58204104.0	58204038.0	134.0	+
peak.107	chr1	58394710.0	58394843.0	58394777.0	134.0	+
peak.108	chr1	58586347.0	58586480.0	58586414.0	134.0	+
peak.109	chr1	58600581.0	58600714.0	58600648.0	134.0	+
peak.110	chr1	58602604.0	58602737.0	58602671.0	134.0	+
