annots	expression	expression_std	expression_cov	expression_reps	expression_pvalue	expression_qvalue
basal	0.9707763382086191	0.06883725758607663	0.0709094926160876	3.0	0.5073312876889825	0.5700688750961552
chr1-105679469-105679602_peak.288_NotDB_WT	0.3372281229073853	0.13564864569420618	0.4022459471194817	3.0	0.036850775118225036	0.07549961065567522
chr1-105679469-105679602_peak.288_NotDB_mutM	0.8939434021716366	0.10134287601554892	0.11336609875900304	3.0	0.21780195677920436	0.28107797010425306
chr1-106663511-106663644_peak.290_EGain_WT	0.10639666995771796	0.1116413488194241	1.049293637327093	3.0	0.03483896098942795	0.07283680051720551
chr1-106663511-106663644_peak.290_EGain_mutM	1.0140324201995554	0.14416568121924445	0.14217068246286793	3.0	0.9710517715074208	0.9774225376086555
chr1-120961980-120962113_peak.305_EGain_WT	1.4096890829412443	0.22441618658151438	0.15919551998890527	3.0	0.07233940827984425	0.11943787236270642
chr1-120961980-120962113_peak.305_EGain_mutM	1.0858437993522458	0.18609397080353576	0.17138189757546077	3.0	0.5380393293490626	0.5990061079468074
chr1-126431154-126431287_peak.309_NotDB_WT	0.40562446477207126	0.46074640046500503	1.1358940115308576	3.0	0.12781723270224163	0.1832062311351929
chr1-126431154-126431287_peak.309_NotDB_mutM	1.8056774214099098	1.648500590501294	0.9129540918854215	3.0	0.5902195840348822	0.6462766732679508
chr1-127015348-127015481_peak.313_KGain_WT	1.396650708638398	0.10026229526954118	0.07178766648626658	3.0	0.01709220762675075	0.046571595780811985
chr1-127015348-127015481_peak.313_KGain_mutD	1.3613035782872867	0.060327545975576	0.04431601219433848	3.0	0.0036542572222463795	0.019513831405007773
chr1-127015348-127015481_peak.313_KGain_mutDM	1.2437466441655614	0.1339495509414287	0.10769842199758974	3.0	0.0637633267115104	0.10860457312220964
chr1-127015348-127015481_peak.313_KGain_mutM	1.9021405085084542	0.30162744029734057	0.1585726390601181	3.0	0.020887083349256645	0.052666609026665465
chr1-127854346-127854479_peak.314_EGain_WT	5.5828737021896435	0.5811778677465255	0.1041001281326825	3.0	0.0008283678309048152	0.009550171322194531
chr1-127854346-127854479_peak.314_EGain_mutM	2.9165634955936226	0.4105421499215311	0.14076228772038835	3.0	0.006142320018913107	0.02617704546521836
chr1-128244073-128244206_peak.317_NotDB_WT	0.404176629671071	0.05400232555452833	0.13361070777020623	3.0	0.005658525854557915	0.024858876248713132
chr1-129538625-129538758_peak.321_KGain_WT				0.0		
chr1-129538625-129538758_peak.321_KGain_mutM				0.0		
chr1-132820242-132820375_peak.343_KGain_WT	1.1657642271674826	0.05423692228676899	0.04652477835810011	3.0	0.010802624579413724	0.03621148693048853
chr1-132820242-132820375_peak.343_KGain_mutD	1.0940245234349426	0.28364798726681645	0.2592702276693379	3.0	0.7268359658294725	0.769670471912335
