label	wt_olap.DREME.1	e80a_olap.DREME.1	k88n_olap.MEME.2	k88n_olap.DREME.1	k88n_gain.MEME.1	e80a_loss.MEME.3	CRX_Corbo	Crx.MA0467.1	NRL.MA0842.2	FOS::JUN.MA0099.2	Lee_2010_CRX
peak.1	5.376579042406931e-06	4.648683178252387e-06	4.593872753242449e-10	4.864699797205948e-06	1.2137684085325647e-08	5.885420862598967e-10	2.048416807823447	3.708379899647772e-08	0.5057412981551783	1.0141100807170265	6.885657056078916
peak.2	1.5287076398535677e-06	1.1650489418729124e-06	6.694846201944178e-16	1.4430642088385033e-07	4.448337878074506e-16	2.527887971573508e-14	1.2400582746361426	6.1896726366194e-06	2.3640704307472124e-13	0.27460201759244146	4.385985825944751
peak.3	1.998117840430725	1.9955320089483521	1.439757953803039e-10	9.073639613372702e-06	1.654901007597576e-10	0.0001461187625202522	4.726344452024123	0.007215724277360341	6.451124922653317e-12	0.9881682078908789	8.226978757273368
peak.4	0.9997648139246541	0.9996663493733341	8.791518484668871e-18	1.8437085927150445e-06	4.133360363830293e-16	1.5975959771952607e-12	3.3519274879989083	1.0142449316123449e-07	3.0904456732475596e-08	0.2415229002621299	5.9789563958740715
peak.5	0.9997599094060193	0.9996619830039516	0.000420502739374432	3.1197795006508113e-07	4.1587652368863e-05	0.9961842445513491	1.9091683026339639	0.10667073247483182	5.1231946253763505e-14	0.5740915418380276	2.6282008362646856
peak.6	5.760497200566431e-06	3.8354566612365706e-06	1.50135400071808e-18	7.527113602202667e-16	3.413326558674259e-19	7.048945118331834e-12	1.0098045390606079	0.0006744840546062493	1.5993756586819763e-15	0.02132291010346943	1.5019484093848725
peak.7	0.9998677837108245	0.9998774589546083	7.450986106113497e-09	1.7058631863839373e-06	1.78469879242541e-16	3.7644482463639486e-09	2.185899580439315	0.9530827207147737	0.009254414614154272	1.273035079712932	6.493558776579322
peak.8	3.023172591713208e-06	2.5897963345744876e-06	7.805473299164284e-14	2.0274444787711434e-16	7.137305867766725e-17	3.7065530413271526e-09	2.0832311674888904	0.31975687064416203	0.09576707624579218	0.018152494400191056	4.409811483262964
peak.9	2.9507846019949903e-06	2.719528420338178e-06	7.169316402334365e-08	1.9997399336008042	3.5484840137114494e-12	0.005907651787685865	2.462117398404479	1.7721174617882415e-06	6.859031786125862e-13	0.9999678519223495	6.977293638865108
peak.10	9.108746929772415e-07	9.832626825158553e-07	1.0363765329593748e-16	3.119779513478442e-07	9.575807601220164e-16	0.7026333422770905	3.7909666181646067	0.000429616484431262	0.000857288786111614	1.9750822945771145	8.076341728984332
